id,source,language,original_label,text
1,fake-real-arabic-news,ar,fake,أعلنت البرتغال رسمي  ا عن وفاة طفل يبلغ 14 عاما  متأثرا  بفايروس كورونا  رغم أنه رياضي  ولم يكن لديه أي ة مشاكل صحية
2,fake-real-arabic-news,ar,fake,اوباما الذى راعى الارهاب كاسلافه ممن سبقوه  يضحك مع بلادن الذى صنعه الامريكان وال سى اى ايه وقتلوه لانتهاء مهمته غدر
3,fake-real-arabic-news,ar,fake,لماذا عرج بالنبى من  القدس وليس من  مكة   ولماذا يصعد المكوك الفضائى  الروسى من  كازاخستان وليس من  روسيا رغم التكلفة العالية جدا ماديا   أكد الدكتور علي منصور كيالي الباحث و الفيزيائي السوري أن  أبواب_السماء ذات حراسة مشددة لا يستطيع مردة الجن و الشياطين المرور من خلالها   بينما يستطيع رواد الفضاء الولوج من خلالها تسهيلا  من  الحق  سبحانه لعـال ـم الأنس حتى يريهم آياته العظيمة في الآفاق كما أشارت إلى ذلك الآية الكريمة  و أوضح أن السماء ليس فضاء مفتوحا    كما يعتقد البعض و إنما فيها   أبواب   لا يمكن العـروج إلا  من خـلالها
4,fake-real-arabic-news,ar,fake,السيسي يعرض على البنك الدولي سداد الديون بضعة ملاين من المواطنين الزائدين عن الحاجة عرض الرئيس المصري عبد الفتاح السيسي على مجلس إدارة مجموعة البنك الد  ولي سداد كافة الديون المتراكمة على مصر منذ سنين طويلة مقابل بضعة ملاين من المواطنين المصرين الزائدين عن حاجته وتشير مصادر مقر  بة من عبد الفتاح إلى أن  ه فك ر بأكثر من حل  مبتكر قبل لجوئه إلى بيع المواطنين  فقطع المواد عن الأسواق ثم رفع أسعارها وباع الج زر وزاد الضرائب لدرجة تأثيرها على مستوى معيشة المسؤولين  كما عرض نفسه لبيع ولكن أحدا  لم يشتره وبعد تفكير عميق اكتشف أن   الوسيلة الأمثل لتخلص من الديون إلى الأبد تكمن في نور عينيه  فهم ثروة مصر الحقيقي  ة  ولديه الكثير منهم  فلا يخشى خطر انقراضهم في المدى المنظور  من جهته  أك  د عبد أنه لم يكن ليبيع مواطنيه لولا الظروف الصعبة التي تعيشها أم   الدنيا  إذ لا زلنا بحاجتهم لعمل كحراس وخدم وسائقين ومزارعين وعم ال في منشآت الجيش  فضلا  عن دورهم الهام في الأجهزة الأمني ة والمخابرات والنخاسة  إلا أن   إلحاح موظفي البنك الدولي بالس  داد أجبرنا على استخدام الأيدي العاملة كعملة بدلا  من الأوراق النقدية إلى أن تفرج الأزمة  كما عرض عبد على البنك الدولي عد ة ط رق  لاستفادة من المواطنين  يمكن الاحتفاط بهم كرهائن ريثما نتمك ن من سداد الديون  إن شاء اله  أو تصديرهم حول العالم وتشغيلهم كعبيد  وافدين  أو حتى فرطهم وبيع كلاويهم وقرنياتهم وعظامهم وأوردتهم وشراينهم وقلوبهم ونخاعاتهم وأمعائهم الغليظة والدقيقة كقطع غيار وهي أمور لا تعارض مع حقوق الإنسان المصري لأنا هيأناه لتقب ل مثل هذه الأشياء  وأضاف  نحن سعداء بتقديم عروض  منافسة لأحبائنا في البنك الدولي  مثل مقايضة كل مئة دولار بخمسة أو ستة مواطنين مع ح زمة من الم عارضين  والمثلين مجانا    تحملنا كاف ة مصاريف الشحن إن قبلوا أخذ س كان م حافظة كاملة  أما عرض الإخوان المسلمين  فيشمل دفع مبالغ مالي ة لبنك مقابل تخليصنا منهم   يبقى العرض ساريا  حتى وفاة الم عارضين أو إعدامهم
5,fake-real-arabic-news,ar,fake,الحكومة تمو ل أبحاثا  لمكافحة علاج الألزهايمر لتساعد المواطنين على نسيان همومهم سامر عسفيكة   مراسل كشف مصدر  رسمي   رفيع  مجازا  وثخين  على أرض الواقع عن خطة حكومي  ة لتمويل أبحاث طبية تهدف إلى مكافحة علاج مرض الألزهايمر  سعيا  منها لم ساعدة أكبر قدر من المواطنين على نسيان همومهم واقعهم بواسطة هذا المرض الحميد وقال المصدر إن   نسيان المواطنين حق هم في امتلاك حد   أدنى من العيش الكريم سيمنح الحكومة فرصة خفض الإنفاق الحكومي على الخدمات العام ة والبنى التحتي ة المتردية  وتركيز الإنفاق الحكومي على ملف ات أكثر أهمية  مثل أعضاء الحكومة المبج لين وأك د المصدر أن   وقف علاج المرض سيدعم قدرة المواطنين على عدم تذكر حقوقهم وظروفهم المعيشية البائسة  والتي تدفعهم عادة لقيام بتصرفات طائشة كالمظاهرات والاحتجاجات لمطالبة بها  وهو ما سيزيل عن ا عبء قمعهم والتنكيل بهم لمساعدتهم على النسيان  وعن الجوانب المدم رة التي قد تعود من تفشي الألزهايمر  يوضح المصدر  من المكن أن ينسى المواطنون اسم القائد المفد ى  لا سمح اله  أو إنجازاته و مآثره  وهو أثر جانبي بسيط لا يقارن بالفوائد المتحقة  ومن السهل علاجه بث خطابات القائد على التلفاز ورفع صوره في كل مكان وعقد جلسات توعوية لتذكير به
6,fake-real-arabic-news,ar,fake,الولايات المتحدة تقصف الجيش السوري لاختبار مدى التزامهم بالهدنة شن  الأمريكان والتحالف الدولي هجوما  على مواقع خاضعة لسيطرة النظام السوري  لقياس مدى التزامهم بالهدنة وقدرتهم على الصبر وضبط النفس وكانت الولايات المتحدة وروسيا قد خاضتا  منذ بداية الثورة السورية  معارك دبلوماسية شرسة وعنيفة  إلى أن توص لتا أخيرا  إلى هدنة مؤق تة لنصف ساعة  قابلة لتمديد إلى حين الاتفاق على الجهة الأجدر بالدعم والجهة التي تستحق الموت ويقول الناطق الرسمي باسم الخارجية الأمريكية إن  هذا الهجوم لا يعدو عن كونه نيرانا  صديقة  فنحن بحاجة لشركاء سلام حقيقين  ومن شأن هذه الضربات كشف معدن شركائنا ومدى تمس كهم بمساعينا السلمي ة  لم نقتل سوى ستين جنديا  وذلك شيء طبيعي في حالة الحرب  فالسلام  كما نعرف  ليس بالمج ان  وأضاف  نحن نساعد الإرهابين على التمد والانتشار في كل مكان  لنتمك ن من ضربهم لاحقا  دون أن يعيقنا الجيش والمعارضة والمدنيون  فكونا نواجه صعوبات في تميز الجماعات  غير الإرهابية  عن  الجماعات الإرهابية   لأن أفضل طريقة لإنهاء الحرب هي القضاء عليهم جميعا   وعندما ينتهي كل شيء  سنبني الحدائق والمدارس ورياض الأطفال لتبدأ الحياة من جديد  من جانبه  أك د الناطق باسم الرئاسة السورية أن هم ملتزمون بالهدنة وقف إطلاق النار  إل ا أنهم لن يحتفظوا بحق الرد لحفاظ على الهدنة  وسيعطونه لروس هذه المر ة ليتمك نوا من القيام بما يلزم في حلب وغيرها من مواقع المعارضة
7,fake-real-arabic-news,ar,fake,عاجل من القناة الصينية الاولى دخول 20 مليون صيني في الدين الاسلامي بعد أن ثبت أن وباء كورونا لا يصيب المسلمين
8,fake-real-arabic-news,ar,fake,والد  يلعن شرفي إن كنت أعلم من أين تعل م ابني القو اد كلماته البذيئة نفى الأب  سميح الدعبر  لمدير المدرسة التي يزورها ابنه  رزين الدعبر  أي علم  له بمصدر الكلمات البذيئة التي ينطق بها ابنه القواد  مؤك د ا أن ه عمل جاهدا  على تربيته على الأخلاق الحميدة  بل أنه كان يفضح عرضه شخصيا  حين يسمعه يتفو ه بكلمات نابية ويقول الأب  لا أعلم من ابن القحبة المخصي قليل الشرف الذي شو ه أخلاق ابني وعل مه تلك الكلمات النابية  واله لو عرفته سأتعرص له في الشارع أمام الجميع  وأسمعه كلاما  يليق بأمه العاهرة التي فشلت في تربيته  ويعتقد سميح أن مسؤولية الخل قد تعود على زوجته  كان عليها أن تراقب ابنها الخنزير خلال غيابي عن المنزل  فلا تدعه يخرج مع أولاد الوسخة من أبناء جيرانه عديمي الأخلاق مثلها  لكنها مشغولة بمشاركة جاراتها المومسات حفلات النميمة  ولا تعبأ بتربية ابنها وكأنه ابن زنا أنجبته سفاحا  من مارسة الرذيلة مع بائع الغاز  ويضيف  نبهتها ألف مرة على المسؤولية الملقاة على عاتقها  وأنها كالمدرسة تعد شعبا  طيب الأعراق  أما إن تصرفت كالقحبة وتخلت عن مسؤولياتها  فإنها ستعد جيلا  من القوادين الذين سيخزونا أمام الناس  عموما   لن أترك تلك العاهرة تفسد الولد بأخلاقها المنحط ة  وسأتولى مسؤولية تربيته بنفسي  وسأضربه بالحذاء على قفاه إن لم يصبح ذلك الكلب ابن الكلبة مهذ با    من جانبه  نفى الولد ما أشيع عن فساد أخلاقه  كل ما قيل لأبي هو محض افتراء  وأتحدى أيا  من الديوثين أن يثبت العكس  خصوصا  مدير المدرسة الذي يكرهني لما فعلته مع ابنته عندما واعدتها خلف سور مدرستها أخلاقي رفيعة كأخلاق أبي  ولعنة اله على جد تي إن كنت أكذب
9,fake-real-arabic-news,ar,fake,شبيح يناشد النظام استعمال الكلور في الغوطة الشرقي ة لتنظيفها وجعلها ناصعة البياض ناشد الشبيح رفيق المفتولي قوات نظامه بإضافة كميات من غاز الكلور أثناء إجراء عمليات تطهير الغوطة الشرقي ة من الإرهابين  لضمان تنظيفها بشكل  جي د وإزالة الشوائب عنها وجعلها ناصعة البياض وقال رفيق إن  تلك المنطقة تعد  من أكثر بؤر الصراع التي استعصت على الزوال  رغم أن القائد جر ب عليها جميع الأساليب التقليدي ة  مثل رش ها بالقذائف والصواريخ وغمرها بالبراميل المتفج رة والمدفعي ة ودعكها بالغارات الجوي ة والقنابل العنقودي ة مرات  عديدة  إلا أنها بقيت ملوثة بالمسل حين وأعوانهم المدنين  الأمر الذي أحرجنا أمام العالم وأظهر رئيسنا وكأنه م قص ر  بالاهتمام بنظافة المناطق الم تاخمة لعاصمته  وأبدى رفيق ثقته بأن استخدام الكلور سي حق ق النتائج التي يتمناها رب  الأسرة السوري ة  سيادة الرئيس بشار الأسد  فقد أثبت الكلور نجاعته ليس فقط في غسيل الملابس والأثواب  بل وفي حسم العديد من الحروب والمعارك كالحرب العالمي ة الأولى والحرب العراقي ة الإيراني ة وفي قصف بلدة حلبجة  رغم اتساع ب قع الصراع في تلك الأماكن  كما أك د رفيق أن لكلور فوائد لا تواجد بالأسلحة التقليدي ة  فهو رخيص وسهل الاستعمال ومتوف ر بسهولة ولا يتأث ر بقرارات حظر الأسلحة وعلى عكس الأسلحة التقليدي ة التي ت دم ر ك ل شيء في طريقها  ي حافظ على سلامة الأبنية والبنية التحتي ة من شوارع وجسور وأنفاق لي عاد استخدامها م جد دا  وهي نظيفة وجميلة وخالية من البشر الذين كانوا يلوثونها
10,fake-real-arabic-news,ar,fake,مقال في الصحافة الفرنسية   لا خوف على المنقبات لأن هن الأقل ع رضة لفيروس كورونا   حيث أنهن  لا يتبادلن الق بل للتحية أو يصافحون بالأيدي أو الأحضان ويلبسون القفازات   وفوق ذلك كل جسدهن مستور و نظيفة بالوضوء المستمر   وهي النصائح التي أطلقتها المتخصصون لتفادي العدوى  الحمد لله على نعمة الاسلام
