id,source,language,original_label,text,link
1,Arabic_Fake_News_Matsda2sh,ar,fake,"الإدعاء
- صورة منتشرة بشكل كبير مقسومة لنصفين، نصف فيه إحدى ضحايا هجوم نيوزيلندا الإرهابي، والنصف الآخر لامرأة محجبة باعتبارها هي الضحية دي، مع تعليق: ""عروس الجنة بإذن الله هذه أختنا في الله شهيدة مسجد النور بنيوزيلندا، الإرهابي أطلق عليه الرصاص ثم دهسها بسيارته، حسبنا الله ونعم الوكيل"".",https://matsda2sh.com/details/9279/%D8%AD%D9%82%D9%8A%D9%82%D8%A9-%D8%B5%D9%88%D8%B1%D8%A9-%D8%B6%D8%AD%D8%A7%D9%8A%D8%A7-%D9%87%D8%AC%D9%88%D9%85-%D9%86%D9%8A%D9%88%D8%B2%D9%8A%D9%84%D8%A7%D9%86%D8%AF%D8%A7-%D8%A7%D9%84%D8%A5%D8%B1%D9%87%D8%A7%D8%A8%D9%8A
2,Arabic_Fake_News_Matsda2sh,ar,fake,"الإدعاء
- بوست منتشر بيقول: ""أنباء عن وفاة الست حلاوتهم"" السيدة حلاوتهم زينهم المصابة في التفجير الإرهابى بالدرب اﻷحمر ربنا يصبر أولادها يارب العالمين"".",https://matsda2sh.com/details/9347/%D8%AD%D9%82%D9%8A%D9%82%D8%A9-%D9%88%D9%81%D8%A7%D8%A9-%D8%A7%D9%84%D8%B3%D9%8A%D8%AF%D8%A9-%D8%AD%D9%84%D8%A7%D9%88%D8%AA%D9%87%D9%85-%D8%A7%D9%84%D9%85%D8%B5%D8%A7%D8%A8%D8%A9-%D9%81%D9%8A-%D8%AA%D9%81%D8%AC%D9%8A%D8%B1-%D8%A7%D9%84%D8%AF%D8%B1%D8%A8-%D8%A7%D9%84%D8%A7%D8%AD%D9%85%D8%B1
3,Arabic_Fake_News_Matsda2sh,ar,fake,"الإدعاء
- بوست منتشر بشكل كبير بيقول: ""عاااااااجل : موافقة مجلس النواب علي مشروع قانون يلزم المتزوج علي الجواز باخري مطلقه او ارمله او لم يسبق لها الزواج وذلك حرصا من الدوله علي القضاء علي نسبة العنوسه",https://matsda2sh.com/details/7600/%D8%AD%D9%82%D9%8A%D9%82%D8%A9-%D9%85%D9%88%D8%A7%D9%81%D9%82%D8%A9-%D8%A7%D9%84%D8%A8%D8%B1%D9%84%D9%85%D8%A7%D9%86-%D8%B9%D9%84%D9%89-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A7%D9%84%D8%B2%D9%88%D8%AC%D8%A9-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A%D8%A9
4,Arabic_Fake_News_Matsda2sh,ar,fake,"الإدعاء
- فيديو منتشر بشكل كبير جدًا (أكتر من 33 ألف شير وكومنت وريأكت)، نشرته شبكة ""رصد""، بيقول إن نجم الكرة النيجيرية السابق جاي جاي أوكوشا أعلن إسلامه واختار لنفسه اسم جديد هو ""محمد""، وإن إعلان إسلامه تم خلال تواجده في تركيا. وذاكرين إن المصدر هو موقع CNN TÜRK.",https://matsda2sh.com/details/9206/%D8%AD%D9%82%D9%8A%D9%82%D8%A9-%D8%A5%D8%B3%D9%84%D8%A7%D9%85-%D9%86%D8%AC%D9%85-%D8%A7%D9%84%D9%83%D8%B1%D8%A9-%D8%A7%D9%84%D8%B3%D8%A7%D8%A8%D9%82-%D8%AC%D8%A7%D9%8A-%D8%AC%D8%A7%D9%8A-%D8%A3%D9%88%D9%83%D9%88%D8%B4%D8%A7
5,Arabic_Fake_News_Matsda2sh,ar,fake,"الإدعاء
نشرت بعض الصفحات (خاصة السورية) على مواقع التواصل الاجتماعي فيديو لشاب يرتدي ملاءة بيضاء وكأنه شبح يركض وراء المسحراتي في حارة قيل إنها في سوريا وإن الأمر عبارة عن مقلب ثقيل الظل من الشاب.",https://matsda2sh.com/details/12622/%D8%AD%D9%82%D9%8A%D9%82%D8%A9-%D8%A5%D8%AE%D8%A7%D9%81%D8%A9-%D8%B4%D8%A7%D8%A8-%D8%B3%D9%88%D8%B1%D9%8A-%D9%84%D9%84%D9%85%D8%B3%D8%AD%D8%B1%D8%A7%D8%AA%D9%8A-%D9%81%D9%8A-%D8%B1%D9%85%D8%B6%D8%A7%D9%86
6,Arabic_Fake_News_Matsda2sh,ar,fake,"الإدعاء
- بوست منتشر بشكل كبير جدًا، بيقول: ""هل تعلم؟ حارس منتخب سيراليون يعمل كمزارع بلا نادي ولا يمارس كرة القدم الا عند الاستدعاء للمنتخب""، مٌرفق معه صورة حارس المرمى السيراليوني محمد كمارا.",https://matsda2sh.com/details/10797/%D8%AD%D8%A7%D8%B1%D8%B3-%D9%85%D9%86%D8%AA%D8%AE%D8%A8-%D8%B3%D9%8A%D8%B1%D8%A7%D9%84%D9%8A%D9%88%D9%86-%D9%8A%D9%84%D8%B9%D8%A8-%D9%84%D9%86%D8%A7%D8%AF%D9%8A-%D9%88%D9%84%D8%A7-%D9%8A%D8%B9%D9%85%D9%84-%D9%85%D8%B2%D8%A7%D8%B1%D8%B9
7,Arabic_Fake_News_Matsda2sh,ar,fake,"الإدعاء
تداولت بعض صفحات مواقع التواصل الاجتماعي فيديو لمدنيين قيل إنهم أردنيين يعبرون الحدود إلى فلسطين خلال حرب غزة المشتغل في مايو 2021",https://matsda2sh.com/details/12599/%D8%AD%D9%82%D9%8A%D9%82%D8%A9-%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86%D9%8A%D9%8A%D9%86-%D8%A7%D9%84%D8%B0%D9%8A%D9%86-%D9%8A%D8%B9%D8%A8%D8%B1%D9%88%D9%86-%D8%A7%D9%84%D8%AD%D8%AF%D9%88%D8%AF-%D8%A5%D9%84%D9%89-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86
8,Arabic_Fake_News_Matsda2sh,ar,fake,"الإدعاء
- تصميم منتشر بشكل كبير عليه لوجو موقع ""المصري اليوم""، وفيه تصريح منسوب لوزير الأوقاف محمد مختار جمعة، بيقول: ""وزير الأوقاف: إذا اقتضت مصلحة البلاد والعباد ان يحكمنا يهودي فلا حرج في ذلك"".",https://matsda2sh.com/details/7918/%D8%AD%D9%82%D9%8A%D9%82%D8%A9-%D8%AA%D8%B5%D8%B1%D9%8A%D8%AD%D8%A7%D8%AA-%D9%88%D8%B2%D9%8A%D8%B1-%D8%A7%D9%84%D8%A3%D9%88%D9%82%D8%A7%D9%81-%D8%B9%D9%86-%D8%AD%D9%83%D9%85-%D8%A7%D9%84%D9%8A%D9%87%D9%88%D8%AF%D9%8A
9,Arabic_Fake_News_Matsda2sh,ar,fake,"الإدعاء
- بوست منتشر بشكل كبير، فيه صورة للسيسي، وهو يفتتح حضانة أطفال، في حي الأسمرات مع تعليق: ""السيسي نزل في الاجازة الدراسية يفتتح حضانة زي سوزان مبارك .. مش دي المشكلة إنما المشكلة انه وجد الطلاب حاضرين و الاساتذة .. الافلام السيساوية أم الافلام العربية"".",https://matsda2sh.com/details/5068/%D8%AD%D9%82%D9%8A%D9%82%D8%A9-%D8%B5%D9%88%D8%B1%D8%A9-%D8%A7%D9%84%D8%B3%D9%8A%D8%B3%D9%8A-%D9%81%D9%8A-%D8%AD%D8%B6%D8%A7%D9%86%D8%A9-%D8%A3%D8%B7%D9%81%D8%A7%D9%84
10,Arabic_Fake_News_Matsda2sh,ar,fake,"الإدعاء
- بالتزامن مع تقديم نادي النصر السعودي لاعبه الجديد كريستيانو رونالدو، نشرت صفحة باسم ""Georgina Rodríguez""، صورة انتشرت بشكل كبير جدًا، لعارضة الأزياء الإسبانية جورجينا، صديقة رونالدو، تسير في الشارع وهي ترتدي الحجاب بصحبة أطفالها.",https://matsda2sh.com/details/12357/%D8%B5%D9%88%D8%B1%D8%A9-%D8%AC%D9%88%D8%B1%D8%AC%D9%8A%D9%86%D8%A7-%D8%A8%D8%A7%D9%84%D8%AD%D8%AC%D8%A7%D8%A8-%D9%81%D9%8A-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D9%85%D9%81%D8%A8%D8%B1%D9%83%D8%A9-
