id,source,source_type,language,title,text,gold_label,original_label,notes
1,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
- صورة منتشرة بشكل كبير مقسومة لنصفين، نصف فيه إحدى ضحايا هجوم نيوزيلندا الإرهابي، والنصف الآخر لامرأة محجبة باعتبارها هي الضحية دي، مع تعليق: ""عروس الجنة بإذن الله هذه أختنا في الله شهيدة مسجد النور بنيوزيلندا، الإرهابي أطلق عليه الرصاص ثم دهسها بسيارته، حسبنا الله ونعم الوكيل"".",,fake,
2,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
- بوست منتشر بيقول: ""أنباء عن وفاة الست حلاوتهم"" السيدة حلاوتهم زينهم المصابة في التفجير الإرهابى بالدرب اﻷحمر ربنا يصبر أولادها يارب العالمين"".",,fake,
3,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
- بوست منتشر بشكل كبير بيقول: ""عاااااااجل : موافقة مجلس النواب علي مشروع قانون يلزم المتزوج علي الجواز باخري مطلقه او ارمله او لم يسبق لها الزواج وذلك حرصا من الدوله علي القضاء علي نسبة العنوسه",,fake,
4,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
- فيديو منتشر بشكل كبير جدًا (أكتر من 33 ألف شير وكومنت وريأكت)، نشرته شبكة ""رصد""، بيقول إن نجم الكرة النيجيرية السابق جاي جاي أوكوشا أعلن إسلامه واختار لنفسه اسم جديد هو ""محمد""، وإن إعلان إسلامه تم خلال تواجده في تركيا. وذاكرين إن المصدر هو موقع CNN TÜRK.",,fake,
5,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
نشرت بعض الصفحات (خاصة السورية) على مواقع التواصل الاجتماعي فيديو لشاب يرتدي ملاءة بيضاء وكأنه شبح يركض وراء المسحراتي في حارة قيل إنها في سوريا وإن الأمر عبارة عن مقلب ثقيل الظل من الشاب.",,fake,
6,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
- بوست منتشر بشكل كبير جدًا، بيقول: ""هل تعلم؟ حارس منتخب سيراليون يعمل كمزارع بلا نادي ولا يمارس كرة القدم الا عند الاستدعاء للمنتخب""، مٌرفق معه صورة حارس المرمى السيراليوني محمد كمارا.",,fake,
7,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
تداولت بعض صفحات مواقع التواصل الاجتماعي فيديو لمدنيين قيل إنهم أردنيين يعبرون الحدود إلى فلسطين خلال حرب غزة المشتغل في مايو 2021",,fake,
8,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
- تصميم منتشر بشكل كبير عليه لوجو موقع ""المصري اليوم""، وفيه تصريح منسوب لوزير الأوقاف محمد مختار جمعة، بيقول: ""وزير الأوقاف: إذا اقتضت مصلحة البلاد والعباد ان يحكمنا يهودي فلا حرج في ذلك"".",,fake,
9,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
- بوست منتشر بشكل كبير، فيه صورة للسيسي، وهو يفتتح حضانة أطفال، في حي الأسمرات مع تعليق: ""السيسي نزل في الاجازة الدراسية يفتتح حضانة زي سوزان مبارك .. مش دي المشكلة إنما المشكلة انه وجد الطلاب حاضرين و الاساتذة .. الافلام السيساوية أم الافلام العربية"".",,fake,
10,Arabic_Fake_News_Matsda2sh,real,ar,,"الإدعاء
- بالتزامن مع تقديم نادي النصر السعودي لاعبه الجديد كريستيانو رونالدو، نشرت صفحة باسم ""Georgina Rodríguez""، صورة انتشرت بشكل كبير جدًا، لعارضة الأزياء الإسبانية جورجينا، صديقة رونالدو، تسير في الشارع وهي ترتدي الحجاب بصحبة أطفالها.",,fake,
