id,source,language,category,text
1,SANAD,ar,Politics,"
أكد رئيس إقليم كردستان العراق مسعود البرزاني، أمس، انه لن يسمح باندلاع الاقتتال الداخلي بين الأكراد مرة أخرى اثر تأزم الأوضاع بين الاتحاد الوطني الكردستاني وحركة التغيير المنشقة عنه . وجاء في بيان لديوان رئاسة إقليم كردستان أن البرزاني لن يسمح مرة أخرى باندلاع الاقتتال الداخلي، أضاف يجب طرح الخلافات والآراء داخل البرلمان، ويجب عدم السماح لأي طرف باستغلال هذه الخلافات لتعكير الأجواء الأمنية المستقرة في الإقليم .وأوضح أن الزعيم الكردي أوعز بوقف جميع السجالات الإعلامية بين الأطراف السياسية في الإقليم بعد اشتداد حدة السجالات بين جلال الطالباني الأمين العام للاتحاد الوطني الكردستاني وخصمه نوشيروان مصطفى زعيم حركة التغيير .يذكر أن اقتتالا داخليا اندلع أواخر العام 1994 بين الحزب الديمقراطي الكردستاني بزعامة البرزاني والاتحاد الوطني قبل أن تنجح وزارة الخارجية الأمريكية في مصالحتهما في واشنطن عام 1998 . وقد أودى النزاع بأكثر من 3000 قتيل وفقا لتقديرات مصادر كردية مستقلة .كما أفاد البيان أن هذا القرار تم اتخاذه بعد اجتماع موسع في أربيل ضم البرزاني ورئيس برلمان الإقليم كمال كركوكي والأطراف السياسية المشاركة في برلمان كردستان .وكانت بعض وسائل الإعلام نشرت نهاية الأسبوع المنصرم تصريحات شديدة اللهجة لمصطفى ردا على تقرير قدمه الطالباني أمام حزبه قبل شهرين يتهم فيه زعيم حركة التغيير بالخيانة . كما أعلنت حركة التغيير الأسبوع الماضي تعرض أنصارها لهجمات في محافظة السليمانية سقط خلالها قتيل وخطف شخص، مطالبة البرزاني بوضع حد لها . (أ .ف .ب)
"
2,SANAD,ar,Politics,"
ليبيا ""تعالج"" مطار بنغازي من آثار الداء الداعشي

الحدث.نت

تجري الحكومة الليبية أعمال صيانة لمطار بنينا في بنغازي، بعد استعادته من تنظيم داعش. وشكل افتتاح المطار بارقة أمل للمعتمرين والمسافرين الذين يقطعون قرابة 250 كلم للوصول إلى أقرب مطار. وكان هذا المطار يتعرض للقصف الصاروخي والمدفعي من قبل داعش وعمليات انتحارية وسيارات مفخخة طيلة السنوات الماضية. ومع قرب انتهاء أعمال الصيانة فيه، يكون المنفذ الشريان الرئيسي لسفر أكثر من مليون مواطن يقيمون في مدينة بنغازي، ولتكون رحلات المعتمرين إلى الأراضي المقدسة أولى الوجهات منه. وقال مدير أمن مطار بنينا: ""نحن نعمل بشكل مستمر لتذليل الصعوبات أمام المسافرين، وخاصة المعتمرين ونؤكد وجود الأجهزة الأمنية وأنها تعمل بشكل فعال لتسيير العمل بالمطار"". وذكر أحد المعتمرين الليبيين: ""على بركة الله تنطلق أولى رحلات العمرة من هذا المطار، الذي افتتح بعد فترة طويلة من الإغلاق ونسأل الله أن يوفقنا"". ويعد مطار بنينا ببنغازي ثاني أكبر مطارات ليبيا وأهم شريان للحياة في المدينة، حيث يعتبر نافذة على العالم ويسير رحلات لأكثر من عشرين وجهة، ويستقبل طائرات الشحن والبضائع من كل مكان.
"
3,SANAD,ar,Politics,"
الجيش اليمني: نتقدم في صعدة معقل الحوثي من 3 محاور

الحدث.نت

احرزت قوات الجيش الوطني اليمني والمقاومة، تقدما كبيرا في جبهة كرش شمال محافظة لحج  وسط تراجع لمليشيات الحوثي بحسب ما أفادت مصادر ميدانية.  المصادر ذاتها اضافت ان الجيش والمقاومة تقترب ايضا من السيطرة على منطقة الشريجة الواقعة على الطريق الرئيس المؤدي الى تعز. ويأتي هذا التقدم بالتزامن مع معارك عنيفة تدور بين قوات الجيش الوطني وميليشيا الحوثي في محيط مدينة تعز وسط اليمن. إلى ذلك أطلقت قوات الجيش اليمني عملية عسكرية واسعة السبت لتحرير مركز مديرية كتاف البقع في صعدة، من سيطرة المليشيات. وقال العميد عبيد الأثله، قائد محور #صعدة إن قوات الجيش مسنودة بالتحالف العربي لدعم الشرعية في #اليمن ، تخوض معارك ضارية مع مليشيا الحوثي الانقلابية ضمن عملية تحرير محافظة صعدة من 3 محاور. وذكر أن قوات الجيش زحفت نحو العديد من الموقع والتباب المحيطة بمركز المديرية، محققة تقدماً نوعيًا في خطتها القتالية. إلى ذلك، أضاف الأثلة أن المليشيات تفر من أمام قوات الجيش وتترك مواقعها بحثاً عن النجاة من الموت. من جانبه، قال العميد ذياب القبلي قائد لواء 103 إن الايام القادمة ستكون مليئة بالمفاجئات، مؤكداً أن صفوف المليشيا الانقلابية تشهد انهيارات متسارعة وفرار العشرات من عناصرها وسط تقدم قوات في جبهتي العطفين والمليل. وفي الحديدة، أعلن #الجيش_اليمني، الجمعة، اقترابه من السيطرة على مركز مديرية حيس جنوب الحديدة غرب #اليمن، وذلك بعد تحريره بدعم من التحالف العربي عدة مناطق جديدة هناك، واستكمال الحصار عليها من اتجاه الخوخة غربا وموزع جنوبا.
"
4,SANAD,ar,Politics,"
سوريا.. التوتر ينذر بانهيار الهدنة الروسية الأميركية

الحدث.نت

استهدفت غارات جوية الاحياء الشرقية في مدينة حلب السورية للمرة الاولى منذ بدء الهدنة قبل اسبوع، في خطوة على طريق انهاء الهدنة المترنحة تحت ضغط الضربات والاتهامات المتبادلة بين موسكو وواشنطن.و يبقى مضمون الاتفاق الأميركي الروسي حول الهدنة غير معلن، ما أثار حفيظة عدد من الدول على رأسها فرنسا التي طالبت بضرورة الكشف عنه، ولكن الاتفاق أصبح على المحك بعد خلافات واشنطن وموسكو التي أعاقت عقد جلسة لمجلس الامن، كذلك خرق النظام لوقف إطلاق النار في مناطق عدة بدعم من الغارات الروسية.فيما تحول خلاف واشنطن وموسكو إلى العلن مع قصف أميركي لمواقع النظام في دير الزور، تحدثت وزارة الدفاع الروسية عن تصاعد التوتر في حلب متخوفة من هجوم للمعارضة، فيما يعزز النظام قواته على جبهتي درعا والقنيطرة جنوب البلاد.ويبقى طريق الكاستيلو شمال حلب غير آمن لدخول المساعدات الانسانية العالقة على الحدود مع تركيا 
"
5,SANAD,ar,Politics,"
أحبطت قوى الأمن اللبنانية محاولة فرار 20 موقوفاً من تنظيم فتح الإسلام الأصولي من سجن رومية بشمال شرقي بيروت .وقالت مصادر أمنية، أمس، إن قيادة سرية السجون في سجن رومية، السجن الرئيس في لبنان، أحبطت محاولة الفرار الجماعية التي كان ينوي نحو 20 موقوفاً من فتح الإسلام تنفيذها ليل الأربعاء/الخميس . (يو .بي .آي)
"
6,SANAD,ar,Medical,"
مشروبات الطاقة.. تتركك بلا طاقة

دبي - ترجمة غادة شكري

يلجأ البعض إلى تناول مشروبات الطاقة، ظناً منهم أنها تساعد في التخلص من الخمول والتعب، في حين حذر خبراء التغذية في بريطانيا من ارتفاع أعداد الفتيات، في سن المراهقة، الذين يعانون من نقص الحديد، الذي يؤدي للشعور بالإرهاق الدائم والإصابة بفقر الدم، بسبب استهلاكهم كميات كبيرة من تلك المشروبات. كما حذرت جمعية مصنعي الأغذية الصحية (HFMA)، من الإفراط في تناول الكافيين، لأنه يحول دون امتصاص الجسم للعديد من المعادن الأساسية بما فيها الحديد، حسب ما جاء في صحيفة ""ديلي ميل"". ويعد نقص الحديد بمثابة اضطراب التغذية الأكثر شيوعاً في بريطانيا، حيث أظهرت الأبحاث مؤخراً أن حوالي 40% من الفتيات والشابات، الذين تتراوح أعمارهم بين 11-24 يعانون من نقص حاد في مستوى ذلك المعدن الهام في الجسم. ووفق تقرير لـ"" HFMA""، فقد أشارت دراسات أخرى إلى أن واحداً من كل 10 من المراهقين البريطانيين يستهلك أكثر من خمس علب من مشروبات الطاقة التي تحتوي على الكافيين كل أسبوع. ووجدت دراسة أجريت على 10 آلاف من البالغين البريطانيين أن ثلاثة أرباع الذين تتراوح أعمارهم بين 18 إلى 24 عاماً لا يعرفون أن تناول الكافيين يمكن أن يحرم الشخص من العديد من المعادن الحيوية. ومن جانبه، قال المدير التنفيذي لجمعية HFMA غراهام كين: ""التغذية الدقيقة ضرورية للتمتع بصحة جيدة، ونقص الحديد قضية واسعة النطاق ولا ينبغي تجاهلها خاصة لدى الفتيات في سن المراهقة"". ويعد الحديد المكون الأساسي لصبغة الدم (الهيموغلوبين) الذي يكون كرات الدم الحمراء التي تقوم بنقل الأكسجين من الرئتين إلى خلايا الجسم، لإتمام عملية الأكسدة، وينقل ثاني أكسيد الكربون من الخلايا إلى الرئتين، ليتم إخراجه أثناء عملية الزفير، وقد يؤدي نقصه إلى الإصابة بفقر الدم. يذكر أن دراسات سابقة كشفت أن مشروبات الطاقة تلحق أضراراً عديدة بالجسم كعدم انتظام ضربات القلب، وقلة النوم، والعصبية والغثيان.



مشروبات الطاقة



مشروبات الطاقة

 
"
7,SANAD,ar,Medical,"
طبيا.. المطلقات والأرامل صحتهن أفضل من المتزوجات

لندن - العربية نت

أظهرت دراسة طبية أجريت في إيطاليا أن النساء غير المتزوجات، بمن فيهن المطلقات والأرامل يتمتعن بحالة صحية أفضل بكثير من النساء المتزوجات، فضلاً عن أنهن يعشن بسعادة وراحة أكبر. وتبين من الدراسة أن النساء المطلقات في إيطاليا يعشن أفضل من المتزوجات ويتمتعن بصحة أفضل، ووجدت الدراسة أن النساء المطلقات يتوقع أن يعشن خمس سنوات على الأقل أكثر من متوسط معيشة الرجال المتوقعة، ومتوسط حياة النساء المتزوجات، وذلك بسبب الصحة الجيدة التي يتمتعن بها. ووجدت الدراسة الجديدة أن النساء المطلقات يعانين ضغوطاً نفسية وبدنية أقل بكثير من تلك السيدات اللواتي يعشن مع أزواجهن، وهو ما يجعلهن في حالة صحية أفضل. وقالت المسؤولة عن الدراسة كاترينا تريفيسان، والباحثة في جامعة بادوا الإيطالية، إن ""وجود الأزواج في حياة السيدات يجعلهن أكثر عرضة للشعور بالضغوط النفسية، كما أن المرأة بوجود زوجها تجد نفسها مقيدة ومحبطة"". وأضافت تريفيسان: ""على الرغم من أن النساء عموماً أطول عمراً من الرجال، إلا أن النساء المتزوجات قد يعانين أيضاً من عبء الرعاية، لأن المرأة غالباً ما تكرس نفسها من أجل رعاية زوجها في الحياة"". وتقول الدكتورة تريفيسان إن النساء المطلقات أو الأرامل أو غير المتزوجات أقل عرضة أيضاً للإصابة بالاكتئاب من النساء المتزوجات، كما أنهن -أي غير المتزوجات - أقل عرضة للإصابة بالقلق، ولديهن رضا وظيفي أكبر في حياتهن العملية، كما أنهن يتميزن بالنشاط والحيوية أكثر من غيرهن. ووجدت الدراسة أيضاً أن غير المتزوجات يحافظن على علاقات أقوى مع العائلات والأصدقاء. يشار الى أن الدراسة أشارت الى أنه يوجد في إيطاليا وحدها أكثر من ثلاث ملايين سيدة مطلقة، أما جريدة ""ديلي ميرور"" فتقول إنه في مقاطعتي إنجلترا وويلز وحدهما ببريطانيا يوجد أكثر من ثلاثة ملايين سيدة مطلقة، وهو ما يعطي لهذه الدراسة الجديدة أهمية كبيرة، كونها تعطي دفعة من الأمل والتفاؤل لهذه الشريحة من النساء.
"
8,SANAD,ar,Medical,"
سر البويضة.. ""جونو"" ينجذب إلى ""إيزومو""

باريس – فرانس برس

بعد بحث استمر أكثر من 10 سنوات، كشف أخيراً عن السر الذي يجذب السائل المنوي إلى البويضة. وتم تسليط الضوء على العنصر الرئيسي في البويضة الذي يسمح للمني بالتعرف عليها والالتصاق بها، في ما يشكل المرحلة الأولى من التلقيح على ما أظهرت أعمال نشرت في مجلة ""نيتشر"". وقد يؤدي هذا الاكتشاف إلى تحسين في معالجة العقم أو في تطوير وسائل منع حمل جديدة على ما أفاد الباحثون. وتكمن أهمية هذا الاكتشاف في أن هذا التعارف المتبادل بين المني والبويضة، والقدرة على الالتحام ببعضهما، وهو الخطوة الأولى نحو اندماجهما وتشكل الجنين، رهن بوجود بروتينات وتفاعلها مع بعضها. واكتشف باحثون يابانيون في العام 2005 البروتين المعني بالأمر في المني، وقد سمي إيزومو (في إشارة إلى معبد ياباني يحتفي بالزواج) إلا أن نظيره في البويضة بقي لغزاً. وقد حل هذا اللغز الآن. فقد أشار باحثون في صندوق ""ويلكوم تراست سانغر"" (بريطانيا) إلى اكتشاف بروتين يقع على غشاء البويضة سمي ""جونو"" تيمناً بآلهة الخصوبة. وتبين أن ذكور الفئران التي لا يحمل منيها بروتين ""إيزومو"" تعاني من العقم، كذلك إناث الفئران، التي لا تحمل البروتين ""جونو"". وتكون بويضاتها التي تعاني من هذا النقص غير قادرة على الالتحام بالمني الطبيعي، على ما جاء في الدراسة التي أعدها ""غافن رايت"" وزملاؤه. وأظهرت أعمالهم أن التفاعل بين ""جونو"" و""إيزومو"" أساسي في عملية التلقيح الطبيعية لدى الثدييات. من جهة أخرى، يشير الباحثون إلى أن البروتين ""جونو"" الذي يختفي بعد عملية الالتحام بسرعة يلعب دوراً في التعطيل، الذي يحول دون وقوع الالتحام مع مني إضافي. وقال الأخصائي بول أوسرمان (ماونت سيناي ميديكال كول في نيويورك) في افتتاحية وردت في المجلة ""هذا الاكتشاف شأنه في ذلك شأن اكتشافات أخرى في علم الأحياء يثير أسئلة ويفتح آفاقاً جديدة"". وشدد على أنه يبقى الآن تحديد حجم مسؤولية الخلل الطارئ على عمل هذا البروتين في العقم النسائي. وأوضح أيضاً أن ""إيزومو"" عامل جيد لتطوير لقاح لمنع الحمل.
"
9,SANAD,ar,Medical,"
الشاي الأخضر هو الأفضل لاحتوائه مضادات أكسدة

دبي - قناة العربية

يعتبر الشاي المشروب الأكثر تناولا بعد الماء. و على الرغم أن الشاي الأسود أكثر الأنواع شهرة إلا أنه الأقل احتواءً على الفوائد الصحية.أما الأخضر هو الأفضل لكونه يحتوي على مضادات أكسدة. وبحسب دراسات طبية عدة أكدت أن لهذا الشاي فوائد صحية كثيرة، و لكن يوجد في العالم مئات الأنواع من أشجار الشاي معظمها تفوق الشاي الأسود من ناحية الفوائد الصحية. وأعلنت المجلة الأميركية للتغذية السريرية أن أفضل أنواع الشاي هو الأخضر، لأنه يساعد في خفض مستوى الكوليسترول الضار، و يقلل أمراض القلب و مضاعفاته. كما يحتوي الشاي الأخضر على مضادات أكسدة و يسرع عملية الأيض ما يساعد على خسارة الوزن. أما الشاي الأبيض فيساعد في توسيع شرايين القلب و يجنب تصلب الشرايين كما يخفض ضغط الدم و الكوليسترول. ويساعد الشاي الأبيض على حماية القلب والأوعية الدموية. ويقلل من مخاطر السرطان ويحسن اضطرابات الجهاز الهضمي ويقوي جهاز المناعة ويقي من المشاكل الجنسية. أما الشاي البابونج فيقي من الأرق، ويهدئ الأعصاب، كما يخفف من القلق. من جهة أخرى، أكدت الجريدة الأمريكية للطب الوقائي أن الشاي الأسود يحمي القلب من خلال خفض مستوى التريجليسيريد و الكوليسترول . لكن بحسب عيادة مايو كلينيك الأميركية يعد الشاي الأسود الأغنى بالكافيين، ما قد يضر من يعاني من ارتفاع ضغط الدم و خفقان القلب.  
"
10,SANAD,ar,Medical,"
هذه الفيتامينات يجب تناولها بعد الأربعين!

دبي - ترجمة غادة شكري

مع بلوغ سن الأربعين، يحتاج جسم الإنسان إلى بعض الفيتامينات على هيئة مكملات غذائية للحفاظ على الصحة والوقاية من عدد كبير من الأمراض التي تظهر مع التقدم بالعمر. ورغم أن تلك الفيتامينات الأساسية موجودة في العديد من المأكولات كاللحوم، الأسماك، الدواجن والخضروات وغيرها إلا أن امتصاص الجسم لها والاستفادة منها يقل مع بلوغ الأربعين عاماً، لذا يتعين الاستعانة بالمكملات الغذائية لضمان الفائدة. وإليكم فيما يلي أهم الفيتامينات التي يجب الحرص على تناولها بانتظام مع بلوغ العقد الرابع من العمر، حسب ما جاء في موقع ""بولد سكاي"" المعني بالصحة وهي كالآتي: 1- فيتامين B12 يعتبر فيتامين B12 ضروريا جدا لضمان كفاءة عمل المخ والجهاز العصبي، فضلاً عن دوره في تكوين كرات الدم الحمراء.  2- الكالسيوم يساهم الكالسيوم في منع الإصابة بالعديد من الأمراض مثل النوبات القلبية والسكتة الدماغية، وهشاشة العظام التي قد تسبب الكسور الخطيرة. ويجب على من هم فوق الأربعين تناول 1000 ملغ من الكالسيوم يوميا، لذا فينصح بتناولهم الأطعمة الغنية بالكالسيوم مثل الحليب واللبن الرائب، العدس، الفاصوليا، التوفو، والسمك، والسبانخ، وغيرها إلى جانب مكملات الكالسيوم الغذائية.  3- فيتامين D يعتبر فيتامين D ضروريا لمنع أنواع مختلفة من السرطان، وأمراض الكبد والسكري وأمراض القلب، كما أنه يساعد على تثبيت الكالسيوم في العظام، وتعتبر أشعة الشمس أفضل مصادره، بالإضافة إلى منتجات الألبان، والحبوب، والأسماك. ويوصى لمن هم فوق الأربعين بتناول 4000 وحدة دولية يوميا، لذا ينصح بتناول المكملات الغذائية إلى جانب الأطعمة السابقة. 4- المغنسيوم والبوتاسيوم للوقاية من ارتفاع مستويات ضغط الدم، ينصح من هم فوق الأربعين بالالتزام بتناول الجرعات الموصى بها من الماغنيسيوم والبوتاسيوم. وفي هذا العمر، تقدر الجرعة الموصى بها من الماغنيسيوم بـ 320 ملغ و البوتاسيوم 4.7 غرام يوميا.
"
